"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/ed72b641-83ea-4ee6-81fd-aa195759c512-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","23","CohhCarnage","2150477310","184485","46165","11468","1287644","120689","39262875","true","false","English","CohhCarnage"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b3fc1f16-0818-4121-8711-c31b9469bc21-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","24","GamesDoneQuick","2069718465","88545","234826","7924","1750613","158801","48856652","true","false","English","GamesDoneQuick"
"https://static-cdn.jtvnw.net/jtv_user_pictures/0347a9aa-e396-49a5-b0f1-31261704bab8-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","25","HasanAbi","2028830370","209820","125713","9356","727983","468583","24494064","true","false","English","HasanAbi"
"https://static-cdn.jtvnw.net/jtv_user_pictures/61f85a70-33e9-4144-b08a-bee144d444dc-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","26","MontanaBlack88","1976484255","58020","147455","32520","3085614","1070747","31226291","true","true","German","MontanaBlack88"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ed0f84d6-2d2d-4c4e-a5fe-7a3cc365684a-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","27","Castro_1021","1939348950","103095","125133","17788","2554579","579309","22408614","true","false","English","Castro_1021"
"https://static-cdn.jtvnw.net/jtv_user_pictures/4bf37688-7b19-4d3f-9d56-11740ad38c4d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","28","csgomc_ru","1938808860","114150","364816","17342","621015","581753","64102459","true","false","Russian","csgomc_ru"
"https://static-cdn.jtvnw.net/jtv_user_pictures/2aa12118-1eac-4e7d-9399-fd1249b6b465-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","29","LEC","1912132740","57570","388794","28581","1107511","678235","33667372","true","false","English","LEC"
"https://static-cdn.jtvnw.net/jtv_user_pictures/yoda-profile_image-63cdc656c9f91fb4-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","30","YoDa","1862494815","145380","123796","13120","1886914","395655","41845800","true","false","Portuguese","YoDa"
"https://static-cdn.jtvnw.net/jtv_user_pictures/bf3d4572-9b46-4550-9c7f-8483ebcf1042-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","31","LCS","1852648845","36630","241509","48240","1257562","584326","34436876","true","false","English","LCS"
"https://static-cdn.jtvnw.net/jtv_user_pictures/9019845e-4a03-46d6-b488-3e915e0e2f90-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","32","dota2mc_ru","1798944915","88020","182869","18486","472719","192832","48264922","true","false","Russian","dota2mc_ru"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c1ec120e-f191-4869-8311-7296ab7c4b66-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","33","RocketLeague","1791156645","38520","206681","42759","1946006","878640","84874123","true","false","English","RocketLeague"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6ec93efb-dd01-4651-84a1-e263097de898-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","34","Lord_Kebun","1769120175","144645","34830","11810","446516","111868","18115533","true","false","English","Lord_Kebun"
